##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR292678_2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	6111112
Total Bases	550 Mbp
Sequences flagged as poor quality	0
Sequence length	90
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.1730100839258	39.0	38.0	39.0	36.0	39.0
2	37.98140714815896	39.0	38.0	39.0	36.0	39.0
3	37.9529170795757	39.0	38.0	39.0	36.0	39.0
4	37.93062702827243	39.0	38.0	39.0	36.0	39.0
5	37.9331548824502	39.0	38.0	39.0	36.0	39.0
6	37.970711876987366	39.0	38.0	39.0	36.0	39.0
7	37.919555557155554	39.0	38.0	39.0	36.0	39.0
8	37.899219487386254	39.0	38.0	39.0	36.0	39.0
9	37.85797560247627	39.0	38.0	39.0	36.0	39.0
10-11	37.847246213127825	39.0	38.0	39.0	36.0	39.0
12-13	37.75040589994096	39.0	37.5	39.0	35.0	39.0
14-15	37.68984253602291	39.0	37.0	39.0	35.0	39.0
16-17	37.62404190923027	39.0	37.0	39.0	35.0	39.0
18-19	37.508390371506856	39.0	37.0	39.0	35.0	39.0
20-21	37.43861297256538	39.0	37.0	39.0	35.0	39.0
22-23	37.29922778374869	39.0	37.0	39.0	34.0	39.0
24-25	37.179732837493404	39.0	37.0	39.0	34.0	39.0
26-27	37.03223390440234	38.5	36.5	39.0	33.0	39.0
28-29	36.87760901780233	38.0	36.0	39.0	33.0	39.0
30-31	37.013582143478956	38.0	36.5	39.0	33.0	39.0
32-33	36.94680755319163	38.0	36.0	39.0	33.0	39.0
34-35	36.896576924134266	38.0	36.0	39.0	33.0	39.0
36-37	36.924919147284484	38.5	36.0	39.0	33.0	39.0
38-39	36.806976291712544	38.0	36.0	39.0	33.0	39.0
40-41	36.67890811034064	38.0	36.0	39.0	33.0	39.0
42-43	36.56235346365768	38.0	36.0	39.0	33.0	39.0
44-45	36.40484628656781	38.0	36.0	39.0	32.0	39.0
46-47	36.09905365831947	37.0	35.0	39.0	31.5	39.0
48-49	35.86706404660886	37.0	35.0	39.0	31.0	39.0
50-51	36.16098003113018	37.5	35.5	39.0	32.0	39.0
52-53	36.49410009176726	38.0	36.0	39.0	33.0	39.0
54-55	36.40462374114564	38.0	36.0	39.0	32.0	39.0
56-57	36.75377419036012	38.0	36.0	39.0	33.0	39.0
58-59	36.6070423844302	38.0	36.0	39.0	33.0	39.0
60-61	36.498686491100145	38.0	36.0	39.0	32.0	39.0
62-63	36.31381809071737	38.0	36.0	39.0	31.5	39.0
64-65	36.19940168008703	38.0	35.5	39.0	31.0	39.0
66-67	36.03185721354804	38.0	35.5	39.0	31.0	39.0
68-69	35.794626575327044	37.0	35.0	39.0	30.5	39.0
70-71	35.63826779807014	37.0	35.0	39.0	30.0	39.0
72-73	35.38464709859679	37.0	34.5	39.0	29.5	39.0
74-75	35.168573984571054	37.0	34.0	39.0	29.0	39.0
76-77	34.88284996249455	37.0	33.5	38.5	28.0	39.0
78-79	34.60084351260458	36.0	33.0	38.0	27.5	39.0
80-81	34.36438998336146	36.0	33.0	38.0	27.0	39.0
82-83	34.001486145238374	36.0	32.5	38.0	26.0	39.0
84-85	33.737593665440926	36.0	32.0	38.0	26.0	39.0
86-87	33.65017659633795	35.5	32.0	37.5	26.0	39.0
88-89	33.25672332629479	35.0	31.0	37.0	25.0	39.0
90	33.38595692567899	35.0	31.0	37.0	26.0	39.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.14387180871595007
1101	2	0.2027743252143921
1101	3	0.13257644380479405
1101	4	0.1705598556554051
1101	5	0.15142732484922306
1101	6	0.13830136431891304
1101	7	0.14523573518859934
1101	8	0.13841233997675317
1101	9	0.12000168770899222
1101	10-11	0.15416341172419834
1101	12-13	0.15326167211955521
1101	14-15	0.14253397397916956
1101	16-17	0.1332104600732933
1101	18-19	0.1570441393097397
1101	20-21	0.15836625852041664
1101	22-23	0.1696801162024144
1101	24-25	0.13473490200245664
1101	26-27	0.05596691548591792
1101	28-29	0.08922835081202152
1101	30-31	0.13175852698089585
1101	32-33	0.13003761614375975
1101	34-35	0.11467475600955623
1101	36-37	0.11234532434571065
1101	38-39	0.09366131347508855
1101	40-41	0.09169468642038225
1101	42-43	0.09393621652089479
1101	44-45	0.09511789639308432
1101	46-47	0.00848482880367385
1101	48-49	-0.030382757678438566
1101	50-51	0.1114517237412116
1101	52-53	0.16551499683725268
1101	54-55	0.1294534156274807
1101	56-57	0.06694799965880094
1101	58-59	0.047080738705112424
1101	60-61	0.026607578005659605
1101	62-63	0.055016868388555906
1101	64-65	-0.011250400809139194
1101	66-67	-0.07812231931654878
1101	68-69	-0.016209972163579778
1101	70-71	-0.06064062688383132
1101	72-73	-0.17917500319733648
1101	74-75	-0.1590458200331213
1101	76-77	-0.18985099818957707
1101	78-79	-0.238167622174835
1101	80-81	-0.2604939146923826
1101	82-83	-0.40558373822243965
1101	84-85	-0.3186984367269261
1101	86-87	-0.4970890697506931
1101	88-89	-0.4658344284709557
1101	90	-0.4079430071930332
1102	1	0.1316955326969662
1102	2	0.19148695163907092
1102	3	0.17338373642319027
1102	4	0.1864500753303986
1102	5	0.1630391729544769
1102	6	0.16598485362907667
1102	7	0.17397342234934143
1102	8	0.18308725676693882
1102	9	0.18357726136689934
1102	10-11	0.13077686170613134
1102	12-13	0.13862461701664586
1102	14-15	0.1718948329739689
1102	16-17	0.19386620637340712
1102	18-19	0.19096569496756644
1102	20-21	0.15613980984606712
1102	22-23	0.1322396405348556
1102	24-25	0.10631531906165037
1102	26-27	0.13011891049297475
1102	28-29	0.11791547845677997
1102	30-31	0.15119982024968692
1102	32-33	0.1444011535265517
1102	34-35	0.18225309044762383
1102	36-37	0.18573792184891147
1102	38-39	0.13396365469329652
1102	40-41	0.12773809209184606
1102	42-43	0.0813965693550287
1102	44-45	0.1196628641513442
1102	46-47	0.0778139026278808
1102	48-49	0.07754969621441887
1102	50-51	0.12132222424480688
1102	52-53	0.17856541721344854
1102	54-55	0.1735857439467594
1102	56-57	0.13003525382368508
1102	58-59	0.12858659962468266
1102	60-61	0.10537439160578543
1102	62-63	0.10194142280971619
1102	64-65	0.09326005991880493
1102	66-67	0.07718936552701905
1102	68-69	0.04752204945845051
1102	70-71	0.04254846023230385
1102	72-73	0.03701031432224511
1102	74-75	-0.035262535257835737
1102	76-77	-0.0363512008283422
1102	78-79	-0.031056008355768938
1102	80-81	-0.09143301194308862
1102	82-83	-0.13059188973947045
1102	84-85	-0.24554306485073596
1102	86-87	-0.2207757917096771
1102	88-89	-0.2718711314815465
1102	90	-0.2916004561939971
1103	1	0.08318076565286958
1103	2	0.0664583651215338
1103	3	0.07714463043622288
1103	4	0.10077211794175867
1103	5	0.08799632264880586
1103	6	0.06365870296472309
1103	7	0.09600221582763169
1103	8	0.08235938842062751
1103	9	0.02262243119105989
1103	10-11	0.06499599182928506
1103	12-13	0.07853647469899272
1103	14-15	0.06741958097952505
1103	16-17	0.04240420140450141
1103	18-19	0.06346805851262616
1103	20-21	0.04783017175881099
